CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavouriteCategory,LastPurchaseDate,FavouritePaymentMethod,FrequencyOfWebsiteVisits,Churn
44616,51,Female,Miami,Bronze,32,4864,Books,2020-12-18,PayPal,26.0,1
2935,52,Female,Chicago,Bronze,26,5611,Books,2023-07-08,Cash,45.0,0
47245,65,Female,Chicago,Platinum,100,18886,Books,2023-05-05,Credit Card,,0
1350,46,Male,San Francisco,Platinum,371,20917,Clothing,2023-05-06,Credit Card,143.0,0
20370,34,Female,Chicago,Bronze,20,6698,Clothing,2023-04-12,Credit Card,13.0,1
15574,60,Male,Chicago,Platinum,284,18955,Clothing,2023-07-16,Credit Card,41.0,0
556,28,Female,San Francisco,Platinum,240,18814,Books,2022-07-10,Credit Card,173.0,0
727,21,Male,San Francisco,Bronze,27,6286,Books,2023-01-31,Cash,63.0,1
18972,70,Male,New York,Silver,29,9791,Electronics,2022-02-28,Credit Card,,0
20592,28,Male,Miami,Platinum,298,31967,Clothing,2023-04-18,Credit Card,349.0,0
10687,59,Female,Miami,Gold,38,14131,Clothing,2023-02-06,Cash,73.0,0
22131,52,Female,Chicago,Platinum,174,32987,Books,2023-07-15,PayPal,201.0,0
29460,34,Female,Miami,Bronze,16,4033,Clothing,2023-05-19,Credit Card,19.0,0
7896,66,Male,Chicago,Platinum,119,20883,Books,2023-06-14,Cash,229.0,0
5978,28,Male,New York,Gold,84,17368,Clothing,2022-12-18,PayPal,43.0,1
3576,30,Male,San Francisco,Platinum,250,46518,Books,2023-01-15,Credit Card,390.0,0
3254,27,Male,San Francisco,Silver,32,10984,Electronics,2023-05-07,Cash,67.0,0
26881,63,Male,San Francisco,Gold,62,14742,Electronics,2022-12-31,Credit Card,44.0,0
29089,68,Female,Miami,Platinum,164,22233,Clothing,2022-06-13,PayPal,239.0,0
6717,56,Female,New York,Silver,101,10053,Clothing,2023-08-27,Credit Card,97.0,1
9575,44,Male,Miami,Platinum,295,27648,Home,2022-09-13,PayPal,254.0,1
5684,68,Male,Miami,Gold,140,16691,Books,2023-07-19,Credit Card,69.0,1
48873,49,Female,New York,Bronze,16,5128,Home,2021-08-27,Cash,30.0,1
38623,19,Female,New York,Silver,59,10665,Books,2022-09-02,Cash,99.0,0
8370,42,Male,New York,Silver,49,9071,Books,2023-01-07,Credit Card,101.0,0
41085,66,Female,New York,Gold,57,16756,Books,2023-08-16,Credit Card,140.0,0
30759,36,Female,San Francisco,Platinum,106,21350,Home,2022-04-25,Credit Card,92.0,1
18314,45,Female,Los Angeles,Gold,88,16832,Clothing,2023-06-15,PayPal,53.0,0
11509,52,Male,Los Angeles,Platinum,134,28718,Books,2022-08-23,Credit Card,256.0,0
4939,39,Male,New York,Bronze,243,5188,Books,2022-12-14,Credit Card,54.0,0
19235,33,Male,Los Angeles,Silver,48,10006,Clothing,2023-08-18,Cash,60.0,0
30410,20,Male,Los Angeles,Platinum,97,21963,Books,2023-03-12,Credit Card,196.0,0
17603,47,Male,New York,Silver,43,9267,Books,2022-06-15,Credit Card,34.0,0
43249,70,Male,Los Angeles,Bronze,54,8482,Books,2022-12-09,Credit Card,54.0,0
3211,30,Female,Miami,Platinum,84,18104,Books,2023-09-10,Credit Card,104.0,0
47762,64,Female,Chicago,Platinum,109,23461,Clothing,2022-04-10,Credit Card,,0
17555,34,Male,Chicago,Gold,142,14792,Electronics,2023-01-10,PayPal,100.0,0
9809,22,Male,New York,Silver,37,12526,Books,2023-05-04,Credit Card,28.0,0
3671,25,Female,San Francisco,Platinum,176,24916,Books,2022-08-22,Credit Card,127.0,1
42278,24,Female,New York,Platinum,90,20000,Clothing,2023-08-05,Credit Card,168.0,0
29859,26,Female,San Francisco,Silver,61,10194,Books,2023-02-27,Cash,,0
10179,36,Male,Chicago,Silver,29,10591,Electronics,2023-08-25,Credit Card,107.0,0
28622,69,Male,New York,Bronze,21,6625,Books,2023-04-06,Credit Card,72.0,0
17596,28,Male,Miami,Bronze,17,3691,Books,2022-06-22,Credit Card,,0
41051,41,Female,Los Angeles,Gold,107,13145,Books,2023-07-06,Cash,110.0,0
13646,38,Female,San Francisco,Gold,436,14544,Clothing,2022-12-18,Cash,165.0,0
47792,54,Female,Los Angeles,Bronze,46,8159,Clothing,2023-03-24,Credit Card,44.0,0
43928,25,Female,Los Angeles,Silver,26,10371,Books,2023-07-07,Credit Card,54.0,0
42045,38,Male,New York,Gold,68,13790,Books,2023-08-17,PayPal,62.0,1
39880,39,Male,Los Angeles,Silver,95,11470,Books,2023-09-01,Cash,24.0,1
6868,29,Female,Miami,Platinum,121,18738,Books,2023-03-17,Cash,80.0,0
26505,24,Male,Los Angeles,Gold,71,13365,Books,2022-12-10,Cash,57.0,0
19088,25,Male,New York,Gold,54,13459,Clothing,2023-03-28,Credit Card,,0
47151,59,Male,Miami,Bronze,100,4486,Books,2023-07-12,Credit Card,21.0,0
26347,45,Female,Chicago,Platinum,143,21299,Clothing,2022-06-11,Credit Card,201.0,1
3951,49,Female,Los Angeles,Platinum,213,29263,Books,2023-09-01,PayPal,72.0,1
19364,68,Male,New York,Gold,51,16177,Home,2022-03-16,Cash,77.0,0
10651,69,Female,Chicago,Gold,116,15588,Books,2021-09-09,Credit Card,180.0,0
15228,55,Male,Chicago,Platinum,130,21280,Books,2023-08-21,Credit Card,101.0,0
47909,50,Female,San Francisco,Bronze,16,7150,Electronics,2023-07-12,Credit Card,46.0,0
49955,29,Male,Miami,Silver,160,8769,Books,2022-06-09,PayPal,63.0,0
32951,54,Female,Los Angeles,Platinum,117,20922,Clothing,2023-06-26,Credit Card,143.0,0
43184,49,Male,New York,Platinum,196,18718,Books,2022-09-29,PayPal,74.0,0
37292,34,Male,San Francisco,Gold,95,17466,Electronics,2022-02-09,Cash,130.0,0
2632,58,Female,Miami,Platinum,144,20195,Books,2023-07-17,Cash,,0
40233,59,Male,San Francisco,Platinum,86,20728,Books,2023-06-27,Credit Card,,0
18311,25,Male,Miami,Platinum,163,24418,Clothing,2022-12-21,Credit Card,170.0,0
23337,22,Male,Miami,Platinum,479,23305,Books,2023-08-03,Credit Card,40.0,1
49866,45,Male,Los Angeles,Silver,49,10469,Books,2023-06-20,PayPal,24.0,0
48294,31,Female,Miami,Silver,65,10601,Books,2023-06-10,Credit Card,109.0,0
36600,32,Male,San Francisco,Silver,48,10217,Books,2022-09-02,Credit Card,33.0,0
41155,28,Male,Miami,Silver,120,10066,Electronics,2023-08-25,Cash,46.0,0
17379,64,Male,Los Angeles,Platinum,143,25800,Clothing,2023-08-29,Credit Card,,1
23148,45,Male,Los Angeles,Bronze,73,8544,Electronics,2023-06-23,Credit Card,24.0,0
12384,54,Female,San Francisco,Platinum,67,22541,Home,2023-04-26,PayPal,129.0,0
31790,65,Female,Chicago,Platinum,246,24534,Books,2023-08-21,Credit Card,81.0,0
36391,44,Male,Chicago,Platinum,99,19935,Books,2022-03-16,Credit Card,163.0,0
26827,69,Male,Miami,Bronze,14,6143,Books,2023-06-19,Credit Card,22.0,1
28714,48,Male,New York,Platinum,144,23326,Clothing,2022-11-16,PayPal,218.0,0
32290,57,Female,Miami,Bronze,49,7409,Books,2023-04-29,Credit Card,72.0,0
4714,52,Female,San Francisco,Gold,42,16651,Books,2023-05-02,Credit Card,125.0,0
32334,41,Female,San Francisco,Platinum,177,24045,Clothing,2023-08-18,Credit Card,270.0,1
36882,36,Female,San Francisco,Platinum,416,29461,Books,2023-07-04,Credit Card,280.0,0
11343,68,Male,San Francisco,Silver,63,9906,Electronics,2021-07-15,Credit Card,71.0,0
9763,25,Female,San Francisco,Gold,288,16653,Electronics,2023-01-26,Cash,125.0,1
5436,30,Male,Los Angeles,Gold,121,13164,Books,2023-02-02,Credit Card,58.0,0
28624,44,Female,Chicago,Platinum,289,24428,Books,2023-01-01,Credit Card,75.0,0
35564,52,Female,San Francisco,Platinum,398,19923,Books,2023-09-10,Cash,,1
37403,36,Female,New York,Platinum,182,25388,Clothing,2023-06-29,PayPal,199.0,0
42408,51,Male,New York,Gold,105,17751,Books,2021-10-22,Credit Card,100.0,0
36208,29,Male,New York,Platinum,262,23106,Electronics,2023-04-29,Credit Card,226.0,0
18181,34,Female,New York,Gold,232,13091,Books,2023-08-19,Credit Card,115.0,0
12095,19,Male,Los Angeles,Silver,181,11959,Books,2023-04-03,Cash,47.0,1
42828,46,Male,New York,Platinum,323,22070,Books,2022-05-08,Credit Card,105.0,0
33694,60,Male,San Francisco,Platinum,277,38683,Electronics,2023-06-30,Cash,209.0,0
10411,41,Female,Miami,Silver,44,8763,Electronics,2023-07-24,PayPal,64.0,0
17971,53,Male,New York,Gold,65,14400,Clothing,2022-06-13,Credit Card,91.0,0
24484,46,Female,Los Angeles,Platinum,92,19684,Clothing,2023-06-05,Credit Card,,0
26964,47,Female,Los Angeles,Platinum,118,21597,Books,2023-07-03,Credit Card,173.0,0
20724,37,Male,New York,Bronze,12,4855,Clothing,2023-07-19,Cash,37.0,0
44069,41,Male,Miami,Platinum,212,22985,Books,2023-08-07,Credit Card,67.0,0
30175,63,Female,New York,Silver,107,10487,Books,2023-05-27,Credit Card,63.0,1
6336,43,Female,Los Angeles,Silver,40,11338,Books,2022-11-23,PayPal,,1
20441,69,Female,Chicago,Gold,155,17752,Clothing,2023-09-01,Credit Card,59.0,0
26800,47,Female,San Francisco,Platinum,478,22563,Books,2023-01-12,Credit Card,229.0,1
5257,61,Male,Los Angeles,Platinum,92,23252,Clothing,2023-07-29,Cash,114.0,1
23274,31,Male,New York,Platinum,180,23818,Books,2023-07-17,PayPal,167.0,0
43180,68,Female,San Francisco,Gold,86,14401,Electronics,2023-01-23,Credit Card,121.0,0
40516,42,Female,New York,Gold,105,17498,Clothing,2023-07-31,Cash,158.0,0
28218,22,Female,New York,Silver,31,11514,Books,2021-08-29,PayPal,,0
759,45,Female,Chicago,Gold,50,15196,Clothing,2023-07-21,Credit Card,150.0,0
9507,60,Male,San Francisco,Platinum,84,28090,Books,2022-09-06,Credit Card,155.0,0
11646,45,Male,San Francisco,Platinum,240,23064,Clothing,2023-06-29,Credit Card,244.0,0
35280,36,Female,Chicago,Platinum,167,21201,Electronics,2022-11-05,Credit Card,42.0,0
25161,64,Male,Los Angeles,Platinum,314,31054,Books,2023-08-25,Cash,237.0,1
45031,69,Male,New York,Platinum,60,19770,Clothing,2023-03-04,Credit Card,194.0,0
42667,50,Female,Miami,Platinum,278,25156,Clothing,2023-06-15,Credit Card,176.0,0
17880,49,Female,New York,Silver,91,9902,Electronics,2023-03-10,Cash,81.0,0
35861,35,Female,New York,Platinum,142,23505,Books,2023-07-10,Cash,204.0,0
2473,64,Female,Los Angeles,Silver,190,11551,Books,2021-02-10,Credit Card,116.0,0
3850,35,Male,New York,Silver,96,11383,Books,2023-01-29,Credit Card,,0
42314,27,Female,Chicago,Bronze,12,1650,Home,2021-12-10,Credit Card,19.0,0
20078,22,Male,Chicago,Platinum,521,20611,Clothing,2023-08-02,Credit Card,211.0,0
18390,26,Male,San Francisco,Platinum,329,26087,Books,2022-12-05,Cash,191.0,0
27387,64,Male,Miami,Bronze,19,4312,Home,2023-09-13,Credit Card,,0
49622,42,Female,New York,Platinum,265,35022,Electronics,2023-08-10,Credit Card,354.0,0
8870,48,Female,New York,Platinum,273,18615,Clothing,2023-06-16,Credit Card,,0
23445,24,Male,Los Angeles,Platinum,155,23641,Clothing,2023-02-22,Credit Card,199.0,0
48344,39,Female,Chicago,Bronze,35,8187,Books,2023-08-12,PayPal,61.0,0
40972,22,Male,Miami,Silver,83,12207,Books,2023-07-11,Credit Card,132.0,1
10937,24,Female,San Francisco,Silver,33,9849,Books,2022-07-01,PayPal,81.0,0
988,46,Female,Chicago,Silver,33,9708,Books,2022-01-03,Cash,77.0,0
13285,44,Male,San Francisco,Gold,144,17121,Books,2023-07-07,Credit Card,81.0,1
46559,46,Male,Los Angeles,Platinum,133,18415,Books,2023-02-28,Credit Card,51.0,0
21041,25,Female,Los Angeles,Gold,48,13858,Books,2023-09-07,Cash,68.0,1
6757,48,Female,New York,Silver,209,9315,Clothing,2022-09-16,Credit Card,21.0,0
20095,67,Male,Miami,Silver,268,12224,Clothing,2023-08-14,Credit Card,22.0,0
12179,52,Male,San Francisco,Platinum,526,23520,Books,2022-07-19,Credit Card,152.0,0
41187,27,Female,Chicago,Platinum,76,18979,Books,2023-08-10,Credit Card,140.0,0
30366,18,Male,Los Angeles,Gold,104,15575,Books,2023-05-03,Credit Card,,1
31456,66,Male,New York,Silver,285,11069,Home,2023-08-23,Cash,75.0,1
46606,46,Female,New York,Platinum,193,24549,Clothing,2023-08-10,Credit Card,120.0,0
46829,52,Female,San Francisco,Platinum,536,23508,Books,2022-10-31,PayPal,226.0,0
27831,57,Male,Los Angeles,Platinum,331,31506,Books,2023-07-28,Cash,152.0,1
2728,46,Female,Miami,Platinum,133,24870,Electronics,2023-02-07,Cash,41.0,0
19296,68,Male,Los Angeles,Platinum,107,18614,Home,2023-04-11,Crypto,169.0,1
18131,33,Male,San Francisco,Gold,92,17963,Home,2023-09-14,PayPal,83.0,1
26499,45,Male,San Francisco,Bronze,49,7072,Books,2023-08-13,PayPal,10.0,0
4742,44,Male,Los Angeles,Gold,60,16747,Books,2023-08-19,Credit Card,176.0,0
31914,62,Male,San Francisco,Silver,329,12818,Clothing,2022-10-18,Credit Card,145.0,0
20287,59,Male,Los Angeles,Platinum,65,19903,Electronics,2023-08-13,PayPal,169.0,0
49611,19,Male,Chicago,Platinum,72,18624,Books,2023-03-15,Credit Card,,0
35869,29,Male,Los Angeles,Gold,65,16291,Home,2023-02-02,Cash,189.0,0
10020,69,Female,Los Angeles,Platinum,80,20221,Clothing,2023-08-09,Credit Card,237.0,0
9416,43,Female,San Francisco,Platinum,267,27733,Clothing,2022-11-12,Credit Card,286.0,0
32971,24,Female,San Francisco,Gold,150,15209,Clothing,2023-01-12,Cash,97.0,1
19216,49,Female,New York,Bronze,28,5522,Clothing,2023-08-17,Credit Card,64.0,1
12335,18,Female,New York,Silver,53,12395,Books,2022-06-17,Credit Card,94.0,0
22158,20,Male,Chicago,Gold,109,13449,Clothing,2023-08-16,PayPal,152.0,0
46709,45,Female,New York,Platinum,543,20229,Books,2023-07-04,PayPal,184.0,1
32346,50,Female,Los Angeles,Platinum,480,18724,Books,2023-08-29,Cash,77.0,1
17088,66,Male,San Francisco,Platinum,173,21638,Books,2023-03-27,Credit Card,63.0,0
48448,40,Female,New York,Platinum,148,21756,Clothing,2023-05-13,PayPal,108.0,0
31907,47,Female,New York,Silver,33,12459,Clothing,2023-08-05,Cash,135.0,0
39644,51,Male,Chicago,Bronze,29,8418,Clothing,2022-03-26,Cash,,0
19121,50,Female,Chicago,Platinum,367,20908,Books,2023-06-01,PayPal,178.0,0
19215,54,Male,Los Angeles,Bronze,23,7272,Books,2022-10-07,Credit Card,25.0,1
22239,24,Male,San Francisco,Silver,55,12461,Clothing,2023-03-08,Cash,116.0,0
48180,19,Female,Chicago,Gold,43,16431,Books,2022-11-09,Credit Card,153.0,0
29363,43,Male,New York,Gold,126,17074,Books,2023-07-02,PayPal,99.0,0
44605,31,Female,San Francisco,Gold,103,14144,Books,2023-08-26,Cash,122.0,0
40699,59,Female,San Francisco,Platinum,109,19072,Clothing,2023-09-13,Crypto,42.0,0
40935,53,Female,New York,Gold,90,16492,Books,2022-08-29,Cash,177.0,1
37217,34,Female,Chicago,Platinum,119,20693,Home,2023-08-29,Credit Card,226.0,0
23914,55,Male,New York,Gold,90,15753,Clothing,2022-09-14,PayPal,176.0,0
2157,27,Male,San Francisco,Silver,56,9592,Clothing,2023-08-22,Credit Card,109.0,1
15677,46,Female,Miami,Platinum,261,18293,Books,2022-03-22,Credit Card,186.0,0
36099,25,Female,Miami,Bronze,17,5934,Clothing,2022-03-12,Credit Card,29.0,0
16006,37,Female,Los Angeles,Platinum,184,35051,Books,2023-05-12,Credit Card,238.0,0
1673,19,Male,New York,Bronze,28,7519,Books,2023-01-15,Cash,61.0,0
33377,63,Male,New York,Silver,58,10090,Books,2022-11-04,PayPal,52.0,0
43766,28,Female,Los Angeles,Platinum,305,18626,Books,2023-09-03,Credit Card,207.0,0
4299,58,Female,Los Angeles,Silver,68,11864,Home,2023-06-29,Cash,58.0,0
35043,61,Female,Los Angeles,Platinum,63,19776,Clothing,2023-06-25,Credit Card,121.0,0
17282,30,Male,San Francisco,Platinum,401,21158,Clothing,2023-07-25,PayPal,143.0,0
29184,19,Male,New York,Platinum,253,18291,Clothing,2023-03-07,Cash,168.0,1
14402,19,Male,San Francisco,Bronze,34,6266,Books,2022-08-13,PayPal,20.0,0
37400,61,Female,Los Angeles,Platinum,173,27262,Books,2023-07-22,Cash,190.0,0
33755,51,Male,New York,Platinum,340,23260,Electronics,2023-06-12,Cash,198.0,0
23680,50,Male,San Francisco,Bronze,23,7370,Clothing,2022-12-16,Credit Card,51.0,1
3322,52,Male,San Francisco,Silver,54,10559,Books,2023-03-11,Credit Card,118.0,0
2533,41,Male,Los Angeles,Gold,71,14603,Books,2023-07-17,Cash,36.0,0
22083,70,Female,New York,Silver,59,10761,Clothing,2022-07-22,PayPal,35.0,0
26568,33,Male,Los Angeles,Silver,70,12327,Books,2023-06-13,Credit Card,109.0,0
38085,44,Female,New York,Bronze,25,4857,Books,2021-08-14,PayPal,57.0,0
28441,37,Male,Miami,Platinum,453,27247,Books,2023-06-27,Credit Card,99.0,0
8321,49,Female,Chicago,Silver,42,9949,Books,2023-02-20,Crypto,21.0,0
41513,37,Female,Chicago,Platinum,96,19041,Books,2022-12-21,Cash,168.0,0
24239,27,Male,Chicago,Platinum,299,32671,Electronics,2023-01-02,Credit Card,343.0,0
48435,22,Male,Los Angeles,Bronze,30,7802,Electronics,2022-07-22,Cash,21.0,0
16242,60,Male,Miami,Gold,139,16672,Books,2023-05-10,Credit Card,66.0,0
16918,22,Male,New York,Silver,67,12166,Home,2023-02-10,Credit Card,51.0,0
38243,54,Male,San Francisco,Platinum,139,30556,Clothing,2023-07-27,PayPal,48.0,0
11454,33,Male,New York,Bronze,15,5241,Books,2023-07-15,Credit Card,,1
22711,43,Female,San Francisco,Gold,56,17866,Books,2023-04-23,Cash,128.0,0
1071,25,Male,New York,Gold,247,16468,Clothing,2023-08-19,Credit Card,176.0,0
15593,61,Male,Miami,Gold,117,13243,Books,2023-03-07,PayPal,77.0,0
6369,42,Female,San Francisco,Platinum,109,19002,Home,2023-09-12,Credit Card,170.0,1
12904,34,Female,Los Angeles,Platinum,162,25686,Clothing,2023-04-02,Credit Card,,0
45018,24,Male,New York,Silver,189,12278,Clothing,2023-05-08,PayPal,43.0,0
27113,66,Male,New York,Silver,62,12720,Books,2023-05-30,Credit Card,73.0,0
5666,50,Male,San Francisco,Bronze,94,6594,Home,2023-01-14,Credit Card,42.0,0
19113,50,Male,Los Angeles,Platinum,134,25422,Home,2022-12-21,Credit Card,,1
9859,43,Male,Los Angeles,Platinum,97,19437,Books,2023-04-19,Credit Card,155.0,0
29719,64,Female,Miami,Gold,234,15462,Books,2022-07-07,Credit Card,104.0,0
24384,59,Female,Los Angeles,Platinum,583,38120,Clothing,2023-04-05,PayPal,152.0,0
2102,59,Female,Los Angeles,Silver,101,11640,Books,2022-03-03,Cash,,0
34604,33,Female,Los Angeles,Gold,61,13507,Books,2023-06-09,Cash,133.0,0
43438,49,Male,Chicago,Platinum,168,28710,Books,2023-08-16,Credit Card,293.0,0
45565,60,Male,Miami,Gold,43,13841,Books,2023-05-02,Credit Card,141.0,0
35054,46,Female,New York,Platinum,110,18329,Clothing,2023-01-01,Cash,,1
25525,56,Female,San Francisco,Platinum,368,18346,Clothing,2023-05-20,Credit Card,192.0,0
34312,54,Female,New York,Platinum,218,31986,Books,2023-08-19,Cash,233.0,0
36900,27,Male,Miami,Silver,145,9525,Clothing,2023-06-25,PayPal,73.0,1
7445,23,Female,San Francisco,Gold,79,16654,Electronics,2023-06-10,Credit Card,192.0,0
21582,44,Female,Miami,Platinum,204,28676,Clothing,2023-07-21,Cash,247.0,0
37866,36,Male,Los Angeles,Gold,35,14778,Clothing,2022-01-28,Cash,97.0,0
12148,66,Male,San Francisco,Platinum,143,23967,Clothing,2023-04-01,Credit Card,72.0,0
45621,19,Female,Los Angeles,Bronze,205,7306,Home,2023-05-03,PayPal,23.0,0
20810,48,Female,New York,Silver,90,10770,Clothing,2022-10-28,Credit Card,40.0,0
8691,37,Male,New York,Silver,36,10636,Books,2023-07-10,Credit Card,67.0,0
21823,42,Female,San Francisco,Gold,483,17556,Clothing,2023-03-19,Crypto,177.0,0
20664,61,Female,San Francisco,Platinum,342,18616,Books,2023-07-28,Credit Card,167.0,1
49271,18,Female,Miami,Gold,111,15849,Clothing,2022-12-11,Credit Card,165.0,0
16518,56,Female,Miami,Gold,109,16576,Books,2023-09-08,Credit Card,164.0,0
6311,34,Female,Los Angeles,Gold,66,15481,Electronics,2023-04-10,Credit Card,174.0,1
41921,34,Male,San Francisco,Silver,54,11218,Clothing,2023-02-08,Credit Card,52.0,0
36103,25,Female,New York,Bronze,38,4688,Books,2022-12-27,Credit Card,21.0,0
31148,36,Female,Miami,Gold,67,16375,Books,2023-04-22,Cash,144.0,1
8566,28,Female,Miami,Bronze,20,8054,Books,2022-11-05,Cash,31.0,0
19914,23,Male,New York,Gold,211,14503,Books,2023-09-08,Cash,67.0,0
22476,67,Male,Miami,Gold,183,15280,Clothing,2023-08-28,PayPal,138.0,0
23305,34,Female,Los Angeles,Silver,82,10365,Clothing,2023-05-22,Credit Card,70.0,1
43695,45,Male,San Francisco,Platinum,153,25793,Books,2023-09-06,Credit Card,66.0,0
40848,55,Female,New York,Platinum,305,21835,Books,2023-03-30,Credit Card,60.0,0
17967,63,Female,San Francisco,Platinum,165,20347,Clothing,2023-06-18,Cash,69.0,1
13518,18,Male,Miami,Platinum,91,20653,Clothing,2022-04-26,Credit Card,136.0,0
32116,58,Female,Miami,Gold,265,14572,Home,2021-09-03,Credit Card,57.0,0
